,Metres,Rail_Lb,Ballast_Size,Sleeper_Type,,,Gradient_1_in,Elevation,Gradient_Metres_Start,,,Curve_Metres_X,Curve_Metres_Y
Summit,0,40,2,2,,,20,1065,0,,,0,0
1st cutting 1 in 5,250,40,2,2,,,6,1059,72,,,37,0
,250,40,1,3,,,10,1003,383,,,37,51
at 1 in 5,475,40,1,3,,,15,990,463,,,74,51
,475,40,1,1,,,7,972,769,,,100,51
Bryn gelli,535,40,1,1,,,13,950,893,,,100,0
,535,40,1,3,,,6,894,1310,,,126,0
v 4M cutting,690,40,1,3,,,15,860,1493,,,126,-51
,690,40,2,2,,,7,771,2088,,,135,-51
Stables,818,40,2,2,,,10,566,3348,,,145,-51
,818,40,1,1,,,6,553,3475,,,145,0
4M flat signpost,1050,40,1,1,,,12,502,3773,,,166,0
,1050,40,2,2,,,8,496,3902,,,187,0
v gwastad bach yelow lollipop,1270,40,2,2,,,10,432,4357,,,187,51
,1270,40,2,2,,,7,421,4441,,,236,51
40/50 transition,1350,40,2,2,,,12,350,4984,,,285,51
,1350,50,1,3,,,6,271,5831,,,285,0
Top of embankment,1775,50,1,3,,,13,248,5957,,,306,0
,1775,50,1,3,,,6,232,6110,,,327,0
weather station,2000,50,1,3,,,12,203,6301,,,327,-51
,2000,40,2,1,,,20,194,6393,,,332,-51
cloggy station lower,2060,40,2,1,,,7,175,6715,,,338,-51
loop 40,2060,50,1,3,,,10,146,6922,,,338,0
15m above 3 1/4M at curve,2263,50,1,3,,,7,136,7023,,,353,0
,2263,40,2,2,,,50,113,7215,,,368,0
^^250m VP2 ,2440,40,2,2,,,0,108,7493,,,368,-101
,2440,40,2,2,,,,,,,,414,-101
VP1,2560,40,2,2,,,,,,,,460,-101
,2560,40,2,1,,,,,,,,460,0
^RVP,2600,40,2,1,,,,,,,,501,0
,2600,40,2,1,,,,,,,,542,0
RVP,2630,40,2,1,,,,,,,,542,51
,2630,40,1,2,,,,,,,,637,51
2?M  ^top of halway bank,3450,40,1,2,,,,,,,,732,51
,3450,40,2,3,,,,,,,,732,0
Top halfway bank,3470,40,2,3,,,,,,,,757,0
,3470,40,2,1,,,,,,,,782,0
5/6 way up halfway bank,3550,40,2,1,,,,,,,,782,-121
,3550,40,1,3,,,,,,,,880,-121
^^ start halfway bank,3820,40,1,3,,,,,,,,978,-121
,3820,50,1,3,,,,,,,,978,0
halfway station,3890,50,1,3,,,,,,,,1135,0
,3890,40,1,1,,,,,,,,1292,0
^v Lower tripper halfway,3950,40,1,1,,,,,,,,1292,101
,3950,40,1,2,,,,,,,,1329,101
Top of curve,4000,40,1,2,,,,,,,,1366,101
,4000,40,1,3,,,,,,,,1366,0
halfway cutting,4200,40,1,3,,,,,,,,1388,0
,4200,40,1,3,,,,,,,,1411,0
Top 2M curve,4346,40,1,3,,,,,,,,1411,-40
,4346,50,2,2,,,,,,,,1420,-40
,4436,50,2,2,,,,,,,,1429,-40
,4436,40,2,2,,,,,,,,1429,0
^gate at start of incline,5000,40,2,2,,,,,,,,1442,0
,5000,50,1,3,,,,,,,,1455,0
15m^1 1/4M,5434,50,1,3,,,,,,,,1455,101
,5434,40,2,2,,,,,,,,1467,101
